Rank	Name	basename	Genre	ESRB_Rating	Platform	Publisher	Developer	VGChartz_Score	Critic_Score	User_Score	Total_Shipped	Global_Sales	NA_Sales	PAL_Sales	JP_Sales	Other_Sales	Year	Last_Update	url	status	Vgchartzscore	img_url
11932	The King of Fighters 2002: Unlimited Match	the-king-of-fighters-2002-unlimited-match	Fighting		PC	SNK	SNK Corporation				0.11						2015.0	05th Apr 19	http://www.vgchartz.com/game/224249/the-king-of-fighters-2002-unlimited-match/?region=All	1		/games/boxart/full_663902AmericaFrontccc.jpg
11938	Arma III	arma-iii	Shooter	M	PC	Bohemia Interactive	Bohemia Interactive					0.11		0.1		0.01	2013.0	16th Nov 18	http://www.vgchartz.com/game/71075/arma-iii/?region=All	1		/games/boxart/full_1892493PALFrontccc.jpg
11941	Iron Brigade	iron-brigade	Strategy	T	PC	Double Fine Productions	Double Fine Productions				0.11						2012.0	05th Apr 19	http://www.vgchartz.com/game/224247/iron-brigade/?region=All	1		/games/boxart/full_9241333AmericaFrontccc.jpg
11956	OlliOlli	olliolli	Sports	E	PC	Devolver Digital	Roll7				0.11						2014.0	05th Apr 19	http://www.vgchartz.com/game/80407/olliolli/?region=All	1		/games/boxart/full_4144927AmericaFrontccc.jpg
11968	Hyperdimension Neptunia U: Action Unleashed	hyperdimension-neptunia-u-action-unleashed	Action	T	PC	Idea Factory International	Compile Heart				0.11						2016.0	03rd Jul 18	http://www.vgchartz.com/game/86241/hyperdimension-neptunia-u-action-unleashed/?region=All	1		/games/boxart/full_1404142AmericaFrontccc.jpg
11969	Sword of the Stars II: Enhanced Edition	sword-of-the-stars-ii-enhanced-edition	Strategy		PC	Paradox Interactive	Kerberos Productions Inc.				0.11						2012.0	05th Apr 19	http://www.vgchartz.com/game/224245/sword-of-the-stars-ii-enhanced-edition/?region=All	1		/games/boxart/full_1006572AmericaFrontccc.jpg
11970	Between Me and The Night	between-me-and-the-night	Action-Adventure		PC	Unknown	RainDance LX				0.11						2012.0	05th Apr 19	http://www.vgchartz.com/game/224243/between-me-and-the-night/?region=All	1		/games/boxart/full_889411AmericaFrontccc.jpg
11975	A New Beginning	a-new-beginning	Adventure		PC	Daedalic Entertainment	Daedalic Entertainment				0.11						2012.0		http://www.vgchartz.com/game/12264/a-new-beginning/?region=All	1		/games/boxart/full_a-new-beginning_169PALFront.jpg
11977	Snapshot	snapshot	Platform		PC	Retro Affect	Retro Affect				0.11						2012.0	04th Apr 19	http://www.vgchartz.com/game/224242/snapshot/?region=All	1		/games/boxart/full_4909796AmericaFrontccc.jpg
12002	Sonic Generations	sonic-generations	Platform	E	PC	Sega	Sega		8.3			0.11	0.02	0.07		0.02	2011.0		http://www.vgchartz.com/game/67113/sonic-generations/?region=All	1		/games/boxart/full_sonic-generations_138PALFront.jpg
12005	Replica	replica	Visual Novel		PC	Somi	Somi				0.11						2016.0	04th Apr 19	http://www.vgchartz.com/game/224240/replica/?region=All	1		/games/boxart/full_565004AmericaFrontccc.jpg
12007	fault - milestone one	fault-milestone-one	Visual Novel		PC	Sekai Project	ALICE IN DISSONANCE				0.11						2013.0	04th Apr 19	http://www.vgchartz.com/game/224237/fault-milestone-one/?region=All	1		/games/boxart/full_7156591AmericaFrontccc.jpg
12012	Sakura Dungeon	sakura-dungeon	Role-Playing		PC	Winged Cloud	Winged Cloud				0.11						2016.0	04th Apr 19	http://www.vgchartz.com/game/224236/sakura-dungeon/?region=All	1		/games/boxart/full_2824468AmericaFrontccc.jpg
12022	Vanishing Realms	vanishing-realms	Role-Playing		PC	Indimo Labs LLC	Indimo Labs LLC				0.11						2016.0	04th Apr 19	http://www.vgchartz.com/game/224231/vanishing-realms/?region=All	1		/games/boxart/full_7079500AmericaFrontccc.jpg
12034	Football Manager 2019	football-manager-2019	Simulation		PC	Sega	Sports Interactive					0.11		0.1		0.01	2018.0	11th Sep 18	http://www.vgchartz.com/game/222761/football-manager-2019/?region=All	1		/games/boxart/full_2640858PALFrontccc.jpg
12037	Cook, Serve, Delicious! 2!!	 serve	Simulation	E10	PC	Vertigo Gaming Inc.	Vertigo Gaming Inc.				0.11						2017.0	04th Apr 19	http://www.vgchartz.com/game/224230/cook-serve-delicious-2/?region=All	1		/games/boxart/full_5444619AmericaFrontccc.jpg
12038	TransOcean: The Shipping Company	transocean-the-shipping-company	Simulation		PC	Astragon	Deck13 Hamburg				0.11						2014.0	03rd Apr 19	http://www.vgchartz.com/game/224229/transocean-the-shipping-company/?region=All	1		/games/boxart/full_1615279AmericaFrontccc.jpg
12041	Kairo	kairo	Puzzle		PC	Lupus Studios Limited	Locked Door Puzzle				0.11						2013.0	03rd Apr 19	http://www.vgchartz.com/game/224228/kairo/?region=All	1		/games/boxart/full_5025350AmericaFrontccc.jpg
