Rank	Name	basename	Genre	ESRB_Rating	Platform	Publisher	Developer	VGChartz_Score	Critic_Score	User_Score	Total_Shipped	Global_Sales	NA_Sales	PAL_Sales	JP_Sales	Other_Sales	Year	Last_Update	url	status	Vgchartzscore	img_url
4	PlayerUnknown's Battlegrounds	playerunknowns-battlegrounds	Shooter		PC	PUBG Corporation	PUBG Corporation				36.6						2017.0	13th Nov 18	http://www.vgchartz.com/game/215988/playerunknowns-battlegrounds/?region=All	1		/games/boxart/full_8052843AmericaFrontccc.jpg
56	Portal 2	portal-2	Shooter	E10	PC	Valve	Valve Software		9.7		13.06						2011.0		http://www.vgchartz.com/game/43865/portal-2/?region=All	1		/games/boxart/full_portal-2_617AmericaFront.jpg
61	Grand Theft Auto V	grand-theft-auto-v	Action	M	PC	Rockstar Games	Rockstar North				12.6						2015.0	02nd Nov 18	http://www.vgchartz.com/game/83197/grand-theft-auto-v/?region=All	1		/games/boxart/full_9031276AmericaFrontccc.jpg
65	Diablo III	diablo-iii	Role-Playing	M	PC	Blizzard Entertainment	Blizzard Entertainment		9.0		12.0						2012.0	03rd Jan 18	http://www.vgchartz.com/game/24178/diablo-iii/?region=All	1	8.4	/games/boxart/full_diablo-iii_550AmericaFront.jpg
76	Terraria	terraria	Platform	T	PC	Unknown	Re-Logic		8.8		11.0						2011.0	19th Mar 18	http://www.vgchartz.com/game/51349/terraria/?region=All	1		/games/boxart/full_terraria_497AmericaFront.jpg
102	Rust	rust	Action-Adventure		PC	Facepunch Studios	Facepunch Studios		6.1		9.15						2018.0	19th Mar 18	http://www.vgchartz.com/game/76807/rust/?region=All	1		/games/boxart/full_9200722AmericaFrontccc.jpg
141	The Binding of Isaac	the-binding-of-isaac	Action		PC	Edmund McMillen	Edmund McMillen		8.3		7.17						2011.0	01st Dec 18	http://www.vgchartz.com/game/53148/the-binding-of-isaac/?region=All	1		/games/boxart/full_the-binding-of-isaac_366AmericaFront.jpg
182	Euro Truck Simulator 2	euro-truck-simulator-2	Simulation		PC	SCS Software	SCS Software		8.5		5.98						2013.0	31st Dec 17	http://www.vgchartz.com/game/71076/euro-truck-simulator-2/?region=All	1		/games/boxart/full_7497790PALFrontccc.jpg
186	Age of Empires II: HD Edition	age-of-empires-ii-hd-edition	Strategy		PC	Microsoft Studios	Hidden Path Entertainment				5.82						2013.0	02nd Oct 18	http://www.vgchartz.com/game/220226/age-of-empires-ii-hd-edition/?region=All	1		/games/boxart/full_7218098AmericaFrontccc.jpg
209	Tomb Raider (2013)	tomb-raider-2013	Action	M	PC	Square Enix	Crystal Dynamics		8.8		5.5						2013.0	06th Jan 18	http://www.vgchartz.com/game/70430/tomb-raider-2013/?region=All	1		/games/boxart/full_5321723AmericaFrontccc.jpg
210	The Witcher 3: Wild Hunt	the-witcher-3-wild-hunt	Role-Playing	M	PC	Warner Bros. Interactive Entertainment	CD Projekt Red Studio				5.48						2015.0	04th May 18	http://www.vgchartz.com/game/71483/the-witcher-3-wild-hunt/?region=All	1		/games/boxart/full_5355846AmericaFrontccc.jpg
225	The Forest	the-forest	Misc		PC	Endnight Games Ltd	Unknown				5.3						2014.0		http://www.vgchartz.com/game/82736/the-forest/?region=All	1		/games/boxart/full_7703243AmericaFrontccc.jpg
255	Cities: Skylines	cities-skylines	Simulation	E	PC	Paradox Interactive	Colossal Order				5.0						2015.0	14th Jan 18	http://www.vgchartz.com/game/84637/cities-skylines/?region=All	1		/games/boxart/full_1184797AmericaFrontccc.jpg
258	Guild Wars 2	guild-wars-2	Role-Playing	T	PC	NCSoft	ArenaNet				5.0						2012.0		http://www.vgchartz.com/game/37350/guild-wars-2/?region=All	1		/games/boxart/full_4799911PALFrontccc.jpg
267	Stardew Valley	stardew-valley	Simulation	E10	PC	Chucklefish	ConcernedApe		9.2		4.91						2016.0	21st Mar 18	http://www.vgchartz.com/game/155895/stardew-valley/?region=All	1		/games/boxart/full_5698458AmericaFrontccc.jpg
294	BioShock Infinite	bioshock-infinite	Shooter	M	PC	2K Games	Irrational Games				4.56						2013.0		http://www.vgchartz.com/game/46735/bioshock-infinite/?region=All	1		/games/boxart/full_7665085AmericaFrontccc.jpg
302	Dead Island	dead-island	Action	M	PC	Deep Silver	Techland		7.1		4.52						2011.0		http://www.vgchartz.com/game/18477/dead-island/?region=All	1		/games/boxart/full_dead-island_410AmericaFront.jpg
303	Arma 2: Operation Arrowhead	arma-2-operation-arrowhead	Shooter		PC	Unknown	Bohemia Interactive				4.51						2011.0	01st Feb 19	http://www.vgchartz.com/game/223378/arma-2-operation-arrowhead/?region=All	1		/games/boxart/full_7027156AmericaFrontccc.jpg
304	ARK: Survival Evolved	ark-survival-evolved	Action-Adventure	T	PC	Studio Wildcard	Studio Wildcard				4.5						2015.0	22nd Sep 18	http://www.vgchartz.com/game/85651/ark-survival-evolved/?region=All	1		/games/boxart/full_1856885AmericaFrontccc.jpg
326	Starbound	starbound	Misc		PC	Infocom, Inc.	Unknown				4.31						2014.0		http://www.vgchartz.com/game/72203/starbound/?region=All	1		/games/boxart/full_265994AmericaFrontccc.jpg
342	7 Days to Die	7-days-to-die	Action	M	PC	The Fun Pimps	The Fun Pimps				4.18						2013.0	31st May 18	http://www.vgchartz.com/game/80943/7-days-to-die/?region=All	1		/games/boxart/full_8931458AmericaFrontccc.jpg
358	The Sims 4	the-sims-4	Simulation	T	PC	Electronic Arts	Maxis		7.0			4.1	1.2	2.6		0.3	2014.0	29th Dec 17	http://www.vgchartz.com/game/72139/the-sims-4/?region=All	1	5.8	/games/boxart/full_3447327AmericaFrontccc.jpg
379	The Elder Scrolls V: Skyrim	the-elder-scrolls-v-skyrim	Role-Playing	M	PC	Bethesda Softworks	Bethesda Game Studios		9.2			3.99	1.18	2.25		0.56	2011.0	01st Apr 18	http://www.vgchartz.com/game/49111/the-elder-scrolls-v-skyrim/?region=All	1		/games/boxart/full_the-elder-scrolls-v-skyrim_498AmericaFront.jpg
412	Diablo III: Reaper of Souls	diablo-iii-reaper-of-souls	Action		PC	Blizzard Entertainment	Blizzard Entertainment				3.7						2014.0	10th Jan 19	http://www.vgchartz.com/game/223328/diablo-iii-reaper-of-souls/?region=All	1		/games/boxart/full_8195643AmericaFrontccc.jpg
429	BattleBlock Theater	battleblock-theater	Platform		PC	The Behemoth	The Behemoth				3.61						2014.0	18th Nov 18	http://www.vgchartz.com/game/81733/battleblock-theater/?region=All	1		/games/boxart/full_7805728AmericaFrontccc.jpg
434	Undertale	undertale	Role-Playing		PC	Toby Fox	Toby Fox				3.58						2015.0	07th Jan 18	http://www.vgchartz.com/game/76701/undertale/?region=All	1		/games/boxart/full_2086374AmericaFrontccc.png
462	Dying Light	dying-light	Action		PC	Warner Bros. Interactive Entertainment	Techland				3.47						2016.0	04th May 18	http://www.vgchartz.com/game/72237/dying-light/?region=All	1		/games/boxart/full_5613940PALFrontccc.jpg
474	World of Warcraft: Battle for Azeroth	world-of-warcraft-battle-for-azeroth	MMO		PC	Blizzard Entertainment	Blizzard Entertainment				3.4						2018.0	19th Apr 18	http://www.vgchartz.com/game/221886/world-of-warcraft-battle-for-azeroth/?region=All	1		/games/boxart/full_7325454AmericaFrontccc.jpg
495	World of Warcraft: Legion	world-of-warcraft-legion	MMO	T	PC	Blizzard Entertainment	Blizzard Entertainment				3.3						2016.0	22nd Apr 18	http://www.vgchartz.com/game/86163/world-of-warcraft-legion/?region=All	1		/games/boxart/full_4214163AmericaFrontccc.jpg
496	World of Warcraft: Warlords of Draenor	world-of-warcraft-warlords-of-draenor	MMO	T	PC	Activision Blizzard	Blizzard Entertainment				3.3						2014.0	22nd Apr 18	http://www.vgchartz.com/game/84863/world-of-warcraft-warlords-of-draenor/?region=All	1		/games/boxart/full_7342681AmericaFrontccc.jpg
497	Dark Souls III	dark-souls-iii	Role-Playing		PC	Namco Bandai Games	From Software				3.29						2016.0	02nd Nov 18	http://www.vgchartz.com/game/85670/dark-souls-iii/?region=All	1		/games/boxart/full_2695520PALFrontccc.jpg
498	Dark Souls: Prepare to Die Edition	dark-souls-prepare-to-die-edition	Role-Playing	M	PC	Namco Bandai Games	From Software				3.29						2012.0	01st Feb 19	http://www.vgchartz.com/game/70899/dark-souls-prepare-to-die-edition/?region=All	1		/games/boxart/full_9931309PALFrontccc.jpg
579	Star Wars: The Old Republic	star-wars-the-old-republic	Role-Playing	T	PC	Electronic Arts	BioWare / LucasArts		8.4			2.97	1.59	1.01		0.37	2011.0		http://www.vgchartz.com/game/31584/star-wars-the-old-republic/?region=All	1		/games/boxart/full_star-wars-the-old-republic_150AmericaFront.jpg
606	Subnautica	subnautica	Adventure	E10	PC	Unknown Worlds Entertainment	Unknown Worlds Entertainment				2.87						2018.0	14th Feb 18	http://www.vgchartz.com/game/221100/subnautica/?region=All	1	4.0	/games/boxart/full_8354552AmericaFrontccc.jpg
612	Prison Architect	prison-architect	Simulation	M	PC	Introversion Software	Introversion Software				2.86						2015.0	18th Aug 18	http://www.vgchartz.com/game/109949/prison-architect/?region=All	1		/games/boxart/full_435104PALFrontccc.jpg
618	The Walking Dead: A Telltale Games Series	the-walking-dead-a-telltale-games-series	Adventure	M	PC	Telltale Games	Telltale Games				2.85						2012.0	10th May 18	http://www.vgchartz.com/game/71271/the-walking-dead-a-telltale-games-series/?region=All	1		/games/boxart/full_7263452AmericaFrontccc.jpg
637	Trine 2	trine-2	Platform	E10	PC	Frozenbyte	Frozenbyte				2.79						2011.0		http://www.vgchartz.com/game/45564/trine-2/?region=All	1		/games/boxart/full_4863801AmericaFrontccc.jpg
649	Battlefield 3	battlefield-3	Shooter	M	PC	Electronic Arts	Dice		8.9			2.76	0.89	1.44		0.43	2011.0		http://www.vgchartz.com/game/35315/battlefield-3/?region=All	1		/games/boxart/full_battlefield-3_332AmericaFront.jpg
650	The Binding of Isaac: Rebirth	the-binding-of-isaac-rebirth	Action		PC	Nicalis	Nicalis				2.76						2014.0	06th Aug 18	http://www.vgchartz.com/game/96810/the-binding-of-isaac-rebirth/?region=All	1		/games/boxart/full_8274221AmericaFrontccc.jpg
663	Divinity: Original Sin	divinity-original-sin	Misc		PC	Focus Home Interactive	Unknown				2.71						2015.0		http://www.vgchartz.com/game/73289/divinity-original-sin/?region=All	1		/games/boxart/full_7587303AmericaFrontccc.jpg
667	World of Warcraft: Mists of Pandaria	world-of-warcraft-mists-of-pandaria	MMO	T	PC	Blizzard Entertainment	Blizzard Entertainment				2.7						2012.0	22nd Apr 18	http://www.vgchartz.com/game/65124/world-of-warcraft-mists-of-pandaria/?region=All	1		/games/boxart/full_9606792AmericaFrontccc.jpg
706	Hotline Miami	hotline-miami	Action		PC	Devolver Digital	Dennaton Games				2.58						2012.0	01st Feb 19	http://www.vgchartz.com/game/73296/hotline-miami/?region=All	1		/games/boxart/full_3903285AmericaFrontccc.png
708	Bastion	bastion	Role-Playing	E10	PC	Warner Bros. Interactive Entertainment	Supergiant Games		8.5		2.58						2011.0		http://www.vgchartz.com/game/50527/bastion/?region=All	1		/games/boxart/full_bastion_213AmericaFront.jpg
738	Rise of the Tomb Raider	rise-of-the-tomb-raider	Adventure	M	PC	Square Enix	Crystal Dynamics				2.49						2016.0	11th Apr 18	http://www.vgchartz.com/game/82906/rise-of-the-tomb-raider/?region=All	1		/games/boxart/full_7661736PALFrontccc.jpg
739	Dustforce DX	dustforce-dx	Platform		PC	Hitbox Team	Hitbox Team				2.49						2012.0	01st Feb 19	http://www.vgchartz.com/game/223379/dustforce-dx/?region=All	1		/games/boxart/full_4322901AmericaFrontccc.jpg
744	Dungeon Defenders	dungeon-defenders	Role-Playing	E10	PC	Trendy Entertainment	Trendy Entertainment		8.3		2.48						2011.0		http://www.vgchartz.com/game/47246/dungeon-defenders/?region=All	1		/games/boxart/full_dungeon-defenders_987AmericaFront.jpg
754	Batman: Arkham City	batman-arkham-city	Action	T	PC	Warner Bros. Interactive	Rocksteady Studios		9.0		2.47						2011.0		http://www.vgchartz.com/game/41801/batman-arkham-city/?region=All	1		/games/boxart/full_batman-arkham-city_659AmericaFront.jpg
806	Sleeping Dogs	sleeping-dogs	Action-Adventure	M	PC	Square Enix	United Front Games		8.5		2.36						2012.0	07th Mar 18	http://www.vgchartz.com/game/70487/sleeping-dogs/?region=All	1		/games/boxart/full_879664AmericaFrontccc.jpg
833	Papers, Please	" please"""	Puzzle		PC	3909 LLC	3909 LLC		8.4		2.31						2013.0	20th Jan 18	http://www.vgchartz.com/game/220849/papers-please/?region=All	1		/games/boxart/full_2825731AmericaFrontccc.jpg
837	Tabletop Simulator	tabletop-simulator	Simulation		PC	Berserk Games	Berserk Games				2.3						2015.0	18th Feb 18	http://www.vgchartz.com/game/221115/tabletop-simulator/?region=All	1		/games/boxart/full_8179036AmericaFrontccc.png
845	Darksiders: Warmastered Edition	darksiders-warmastered-edition	Action-Adventure	M	PC	THQ Nordic	Kaiko				2.28						2016.0	31st Mar 18	http://www.vgchartz.com/game/221407/darksiders-warmastered-edition/?region=All	1		/games/boxart/full_7973442PALFrontccc.jpg
875	Darkest Dungeon	darkest-dungeon	Role-Playing	T	PC	Red Hook Studios	Red Hook Studios				2.21						2016.0	31st Jan 18	http://www.vgchartz.com/game/84592/darkest-dungeon/?region=All	1		/games/boxart/full_5606272AmericaFrontccc.jpg
914	How to Survive 2	how-to-survive-2	Action		PC	Unknown	EKO Software				2.15						2015.0	02nd Feb 19	http://www.vgchartz.com/game/223381/how-to-survive-2/?region=All	1		/games/boxart/full_8394432AmericaFrontccc.jpg
918	Banished	banished	Misc		PC	Falcom	Unknown				2.15						2014.0		http://www.vgchartz.com/game/76325/banished/?region=All	1		/games/boxart/full_9962625AmericaFrontccc.jpg
950	Total War: WARHAMMER	total-war-warhammer	Strategy		PC	Sega	Creative Assembly				2.09						2016.0	30th May 18	http://www.vgchartz.com/game/85413/total-war-warhammer/?region=All	1		/games/boxart/full_6185222PALFrontccc.jpg
995	Serious Sam 3: BFE	serious-sam-3-bfe	Shooter	M	PC	Devolver Digital	Croteam		7.0		2.03						2011.0		http://www.vgchartz.com/game/51615/serious-sam-3-bfe/?region=All	1		/games/boxart/full_serious-sam-3-bfe_767AmericaFront.jpg
1006	Stick Fight: The Game	stick-fight-the-game	Fighting		PC	Unknown	Landfall West				2.01						2015.0	02nd Feb 19	http://www.vgchartz.com/game/223382/stick-fight-the-game/?region=All	1		/games/boxart/full_6483102AmericaFrontccc.jpg
1007	Plague Inc: Evolved	plague-inc-evolved	Strategy		PC	Ndemic Creations	Ndemic Creations				2.0						2020.0	02nd Feb 19	http://www.vgchartz.com/game/82995/plague-inc-evolved/?region=All	1		/games/boxart/full_447054AmericaFrontccc.jpg
1016	Planet Coaster	planet-coaster	Simulation	E	PC	Frontier Developments	Frontier Developments				2.0						2016.0	22nd Sep 18	http://www.vgchartz.com/game/185247/planet-coaster/?region=All	1		/games/boxart/full_1967826AmericaFrontccc.jpg
1034	Stellaris	stellaris	Strategy		PC	Paradox Interactive	Paradox Interactive				1.97						2016.0	22nd Sep 18	http://www.vgchartz.com/game/98721/stellaris/?region=All	1		/games/boxart/full_3111102PALFrontccc.jpg
1097	Surgeon Simulator	surgeon-simulator	Misc		PC	Bossa Studios	Bossa Studios				1.88						2013.0	02nd Feb 19	http://www.vgchartz.com/game/81457/surgeon-simulator/?region=All	1		/games/boxart/full_9020610AmericaFrontccc.jpg
1101	The Long Dark	the-long-dark	Simulation	T	PC	Hinterland Studio Inc.	Hinterland Studio Inc.				1.88						2017.0	07th Aug 18	http://www.vgchartz.com/game/222541/the-long-dark/?region=All	1		/games/boxart/full_5364383AmericaFrontccc.jpg
1107	Broforce	broforce	Action		PC	Devolver Digital	Free Lives Games				1.86						2014.0		http://www.vgchartz.com/game/83065/broforce/?region=All	1		/games/boxart/full_1522776AmericaFrontccc.jpg
1118	Batman: Arkham Origins	batman-arkham-origins	Action-Adventure	T	PC	Warner Bros. Interactive Entertainment	Warner Bros. Interactive Entertainment				1.85						2014.0	13th Apr 18	http://www.vgchartz.com/game/71968/batman-arkham-origins/?region=All	1		/games/boxart/full_8037983AmericaFrontccc.jpg
1133	Risk of Rain	risk-of-rain	Misc		PC	Infocom, Inc.	Unknown				1.83						2013.0		http://www.vgchartz.com/game/78764/risk-of-rain/?region=All	1		/games/boxart/full_4013978AmericaFrontccc.jpg
1139	Wolfenstein: The New Order	wolfenstein-the-new-order	Shooter	M	PC	Bethesda Softworks	MachineGames				1.82						2014.0	04th Jan 18	http://www.vgchartz.com/game/72127/wolfenstein-the-new-order/?region=All	1		/games/boxart/full_7530717AmericaFrontccc.jpg
1148	Alan Wake	alan-wake	Action		PC	Remedy Entertainment	Remedy Entertainment				1.8						2012.0	02nd Nov 18	http://www.vgchartz.com/game/13818/alan-wake/?region=All	1		/games/boxart/full_alan-wake_126PALFront.jpg
1168	Mad Max (2013)	mad-max-2013	Action	M	PC	Warner Bros. Interactive Entertainment	Avalanche Studios				1.78						2015.0	05th Jan 18	http://www.vgchartz.com/game/77624/mad-max-2013/?region=All	1		/games/boxart/full_1468140PALFrontccc.jpg
1175	Ori and the Blind Forest: Definitive Edition	ori-and-the-blind-forest-definitive-edition	Platform	E	PC	Nordic Games	Moon Studios				1.76						2016.0	12th Aug 18	http://www.vgchartz.com/game/82901/ori-and-the-blind-forest-definitive-edition/?region=All	1	9.3	/games/boxart/full_5819763AmericaFrontccc.jpg
1193	Metal Gear Solid V: The Phantom Pain	metal-gear-solid-v-the-phantom-pain	Action	M	PC	Konami Digital Entertainment	Kojima Productions				1.75						2015.0	04th May 18	http://www.vgchartz.com/game/85445/metal-gear-solid-v-the-phantom-pain/?region=All	1		/games/boxart/full_8487538PALFrontccc.jpg
1205	Max Payne 3	max-payne-3	Shooter	M	PC	Rockstar Games	Rockstar Vancouver		9.0		1.74						2012.0		http://www.vgchartz.com/game/29385/max-payne-3/?region=All	1		/games/boxart/full_9900194AmericaFrontccc.jpg
1211	Cuphead	cuphead	Action	E10	PC	Studio MDHR	Studio MDHR				1.74						2017.0	27th Sep 18	http://www.vgchartz.com/game/82954/cuphead/?region=All	1		/games/boxart/full_1835960AmericaFrontccc.jpg
1232	Call of Duty: Modern Warfare 3	call-of-duty-modern-warfare-3	Shooter	M	PC	Activision	Infinity Ward		8.0			1.71	0.41	0.99		0.31	2011.0		http://www.vgchartz.com/game/44604/call-of-duty-modern-warfare-3/?region=All	1		/games/boxart/full_call-of-duty-modern-warfare-3_640AmericaFront.jpg
1238	Factorio	factorio	Strategy		PC	Unknown	Unknown				1.71						2016.0		http://www.vgchartz.com/game/84595/factorio/?region=All	1		/games/boxart/full_5669548AmericaFrontccc.jpg
1254	Game Dev Tycoon	game-dev-tycoon	Simulation		PC	Greenheart Games	Greenheart Games				1.7						2013.0	02nd Feb 19	http://www.vgchartz.com/game/72219/game-dev-tycoon/?region=All	1		/games/boxart/full_2489719AmericaFrontccc.jpg
1281	Planetary Annihilation	planetary-annihilation	Strategy	E10	PC	Nordic Games	Uber Entertainment				1.68						2014.0	04th Jan 19	http://www.vgchartz.com/game/71060/planetary-annihilation/?region=All	1		/games/boxart/full_3150735AmericaFrontccc.jpg
1368	L.A. Noire: The Complete Edition	la-noire-the-complete-edition	Adventure	M	PC	Rockstar Games	Rockstar Leeds				1.6						2011.0		http://www.vgchartz.com/game/68416/la-noire-the-complete-edition/?region=All	1		/games/boxart/full_8333960AmericaFrontccc.jpg
1398	Mark of the Ninja	mark-of-the-ninja	Action		PC	Microsoft Studios	Klei Entertainment		9.3		1.56						2012.0	12th Aug 18	http://www.vgchartz.com/game/73705/mark-of-the-ninja/?region=All	1		/games/boxart/full_880273AmericaFrontccc.jpg
1431	ShellShock Live	shellshock-live	Strategy		PC	Unknown	kChamp Games				1.53						2013.0	03rd Feb 19	http://www.vgchartz.com/game/223384/shellshock-live/?region=All	1		/games/boxart/full_9305280AmericaFrontccc.jpg
1453	How to Survive	how-to-survive	Action		PC	505 Games	EKO Software				1.51						2013.0		http://www.vgchartz.com/game/84376/how-to-survive/?region=All	1		/games/boxart/full_4437631AmericaFrontccc.jpg
1454	Call of Duty: Black Ops II	call-of-duty-black-ops-ii	Shooter	M	PC	Activision	Treyarch					1.51	0.66	0.7		0.15	2012.0	07th Apr 18	http://www.vgchartz.com/game/70717/call-of-duty-black-ops-ii/?region=All	1		/games/boxart/full_110395PALFrontccc.jpg
1490	Football Manager 2012	football-manager-2012	Sports		PC	Sega	Sega		8.5			1.5	0.02	1.16		0.32	2011.0		http://www.vgchartz.com/game/57526/football-manager-2012/?region=All	1	7.6	/games/boxart/full_football-manager-2012_589PALFront.jpg
1496	Metro: Last Light	metro-last-light	Shooter	M	PC	Deep Silver	4a-games				1.49						2013.0	17th Jul 18	http://www.vgchartz.com/game/71328/metro-last-light/?region=All	1		/games/boxart/full_7682778PALFrontccc.jpg
1503	State of Decay	state-of-decay	Action-Adventure		PC	Microsoft Studios	Undead Labs				1.49						2013.0	02nd Oct 18	http://www.vgchartz.com/game/71780/state-of-decay/?region=All	1		/games/boxart/full_984420AmericaFrontccc.jpg
1517	Rogue Legacy	rogue-legacy	Misc		PC	Cellar Door Games	Unknown				1.48						2013.0		http://www.vgchartz.com/game/81169/rogue-legacy/?region=All	1		/games/boxart/full_285676AmericaFrontccc.jpg
1550	Dark Souls II: Scholar of the First Sin	dark-souls-ii-scholar-of-the-first-sin	Role-Playing		PC	Unknown	From Software				1.45						2011.0	03rd Feb 19	http://www.vgchartz.com/game/223393/dark-souls-ii-scholar-of-the-first-sin/?region=All	1		/games/boxart/full_5450402AmericaFrontccc.jpg
1617	Anno 2070	anno-2070	Strategy	RP	PC	Ubisoft	Blue Byte Studio		8.7			1.4		1.14		0.26	2011.0		http://www.vgchartz.com/game/50771/anno-2070/?region=All	1		/games/boxart/full_anno-2070_524PALFront.jpg
1626	Fallout 4	fallout-4	Role-Playing	M	PC	Bethesda Softworks	Bethesda Game Studios		9.0			1.4	0.57	0.72		0.11	2015.0	24th Mar 18	http://www.vgchartz.com/game/85600/fallout-4/?region=All	1		/games/boxart/full_4171406AmericaFrontccc.jpg
1628	Batman: Arkham Knight	batman-arkham-knight	Action	M	PC	Warner Bros. Interactive Entertainment	Rocksteady Studios				1.4						2015.0	04th Jan 18	http://www.vgchartz.com/game/79435/batman-arkham-knight/?region=All	1		/games/boxart/full_2938427PALFrontccc.jpg
1629	No Man's Sky	no-mans-sky	Action-Adventure	T	PC	Hello Games	Hello Games				1.4						2016.0	04th Apr 18	http://www.vgchartz.com/game/84664/no-mans-sky/?region=All	1		/games/boxart/full_4186961AmericaFrontccc.jpg
1633	Spintires	spintires	Misc		PC	Unknown	Unknown				1.39						2014.0		http://www.vgchartz.com/game/82771/spintires/?region=All	1		/games/boxart/full_5206589AmericaFrontccc.jpg
1639	Battlefield 4	battlefield-4	Shooter	M	PC	Electronic Arts	EA DICE					1.39	0.44	0.85		0.1	2013.0	05th Jan 18	http://www.vgchartz.com/game/71509/battlefield-4/?region=All	1		/games/boxart/full_6969844AmericaFrontccc.jpg
1652	SimCity (2013)	simcity-2013	Simulation	E10	PC	Electronic Arts	Maxis					1.38	0.48	0.79		0.11	2013.0	06th May 18	http://www.vgchartz.com/game/71162/simcity-2013/?region=All	1		/games/boxart/full_4764643AmericaFrontccc.png
1689	Hearts of Iron IV	hearts-of-iron-iv	Strategy	T	PC	Paradox Interactive	Paradox Development				1.35						2016.0	29th Nov 18	http://www.vgchartz.com/game/78455/hearts-of-iron-iv/?region=All	1		/games/boxart/full_38086AmericaFrontccc.jpg
1730	Transistor	transistor	Role-Playing		PC	Unknown	Supergiant Games				1.33						2014.0	20th Apr 18	http://www.vgchartz.com/game/72898/transistor/?region=All	1		/games/boxart/full_8883811AmericaFrontccc.jpg
1745	Resident Evil 6	resident-evil-6	Action	M	PC	Capcom	Capcom				1.32						2013.0	03rd Jan 19	http://www.vgchartz.com/game/71385/resident-evil-6/?region=All	1		/games/boxart/full_8752118PALFrontccc.jpg
1751	Thief	thief	Action	M	PC	Square Enix	Eidos Montreal				1.31						2014.0	04th Jan 18	http://www.vgchartz.com/game/34461/thief/?region=All	1		/games/boxart/full_7470648AmericaFrontccc.jpg
1782	The Escapists	the-escapists	Action		PC	Team17 Software	Mouldy Toof Studios				1.3						2014.0		http://www.vgchartz.com/game/84135/the-escapists/?region=All	1		/games/boxart/full_7853410PALFrontccc.jpg
1784	Scribblenauts: Unlimited	scribblenauts-unlimited	Puzzle		PC	Warner Bros. Interactive Entertainment	5TH Cell		8.8		1.3						2012.0	31st Dec 17	http://www.vgchartz.com/game/220263/scribblenauts-unlimited/?region=All	1		/games/boxart/full_8531786AmericaFrontccc.jpg
1809	Fez	fez	Platform		PC	Trapdoor	Polytron Corporation				1.28						2013.0		http://www.vgchartz.com/game/33053/fez/?region=All	1		/games/boxart/full_7892242PALFrontccc.png
1810	Pillars of Eternity	pillars-of-eternity	Role-Playing	M	PC	Paradox Interactive	Obsidian Entertainment				1.28						2015.0	06th Feb 18	http://www.vgchartz.com/game/220154/pillars-of-eternity/?region=All	1		/games/boxart/full_7920457AmericaFrontccc.jpg
1829	Dark Souls II	dark-souls-ii	Role-Playing		PC	Namco Bandai Games	From Software				1.27						2014.0	23rd Apr 18	http://www.vgchartz.com/game/73249/dark-souls-ii/?region=All	1		/games/boxart/full_9221711PALFrontccc.jpg
1906	Slime Rancher	slime-rancher	Simulation	E10	PC	Monomi Park	Monomi Park				1.22						2017.0	07th Aug 18	http://www.vgchartz.com/game/222533/slime-rancher/?region=All	1		/games/boxart/full_2292193AmericaFrontccc.jpg
1955	Hand Simulator	hand-simulator	Simulation		PC	Unknown	HFM Games				1.2						2013.0	03rd Feb 19	http://www.vgchartz.com/game/223394/hand-simulator/?region=All	1		/games/boxart/full_2250419AmericaFrontccc.jpg
1975	Mortal Kombat Komplete Edition	mortal-kombat-komplete-edition	Fighting	M	PC	Warner Bros. Interactive Entertainment	NetherRealm Studios				1.19						2013.0	27th Nov 18	http://www.vgchartz.com/game/80881/mortal-kombat-komplete-edition/?region=All	1		/games/boxart/full_5604169AmericaFrontccc.jpg
1994	NieR: Automata	nier-automata	Role-Playing		PC	Square Enix	PlatinumGames				1.18						2017.0	16th Jan 18	http://www.vgchartz.com/game/161013/nier-automata/?region=All	1		/games/boxart/full_9038892PALFrontccc.jpg
2052	Enter the Gungeon	enter-the-gungeon	Shooter		PC	Devolver Digital	Dodge Roll				1.14						2016.0		http://www.vgchartz.com/game/84951/enter-the-gungeon/?region=All	1		/games/boxart/full_9075445AmericaFrontccc.jpg
2062	Conan Exiles	conan-exiles	Action-Adventure		PC	Maximum Games	Funcom Oslo A/S				1.14						2018.0	30th Mar 18	http://www.vgchartz.com/game/221703/conan-exiles/?region=All	1		/games/boxart/full_9144833AmericaFrontccc.jpg
2089	Total War: Rome II	total-war-rome-ii	Strategy	T	PC	Sega	The Creative Assembly		8.0		1.13						2013.0	19th Mar 18	http://www.vgchartz.com/game/72163/total-war-rome-ii/?region=All	1		/games/boxart/full_3404293PALFrontccc.jpg
2102	Slay the Spire	slay-the-spire	Strategy		PC	Mega Crit Games	Mega Crit Games				1.12						2019.0	24th Mar 19	http://www.vgchartz.com/game/223397/slay-the-spire/?region=All	1		/games/boxart/full_6635497AmericaFrontccc.jpg
2116	Farming Simulator 17	farming-simulator-17	Simulation	E	PC	Focus Home Interactive	Giants Software					1.12	0.11	0.94		0.07	2016.0	06th Apr 18	http://www.vgchartz.com/game/120414/farming-simulator-17/?region=All	1		/games/boxart/full_1011635AmericaFrontccc.jpg
2140	Orcs Must Die!	orcs-must-die	Strategy	T	PC	Unknown	Robot Entertainment		8.5		1.11						2011.0		http://www.vgchartz.com/game/51047/orcs-must-die/?region=All	1		/games/boxart/full_orcs-must-die_244AmericaFront.jpg
