Rank	Name	Platform	Publisher	Developer	Critic_Score	User_Score	Total_Shipped	Year
9619	Okami HD	PC	Capcom	Capcom	9.2	7.7	0.16	2017
9647	The Surge	PC	Focus Home Interactive	DECK13 Interactive	7.2	6.8	0.16	2017
9707	Steins;Gate	PC	Nitro+	Nitro+	8.7	8.8	0.16	2016
9747	SUPERHOT VR	PC	SUPERHOT Team	SUPERHOT Team	8.5	7.2	0.16	2017
9781	Mother Russia Bleeds	PC	Bandai Visual	Unknown	7.0	6.9	0.16	2016
9804	Yooka-Laylee	PC	Team17 Software	Playtonic Games	7.3	6.5	0.16	2018
9847	Destiny 2	PC	Activision	Bungie	8.3	3.6	0.16	2017
9878	The Banner Saga 2	PC	Versus Evil	Stoic Studio	8.2	8.3	0.15	2016
10050	Dead Rising 4	PC	Capcom	Capcom	7.4	3.7	0.15	2016
10144	Battle Chasers: Nightwar	PC	THQ Nordic	Airship Syndicate	7.9	7.5	0.15	2017
10151	We Happy Few	PC	Gearbox Software	Compulsion Games	6.2	5.3	0.15	2018
10199	Sherlock Holmes: The Devil's Daughter	PC	Bigben Interactive	Bigben Interactive	6.5	7.3	0.14	2016
10237	Vanquish	PC	Sega	PlatinumGames	7.8	8.9	0.14	2017
10271	Styx: Shards of Darkness	PC	Focus Home Interactive	Cyanide Studio	7.2	7.6	0.14	2017
10350	The Solus Project	PC	Teotl Studios	Hourences	6.8	6.3	0.14	2016
10390	Battle Brothers	PC	Overhype Studios	Overhype Studios	8.0	7.7	0.14	2017
10531	Warhammer 40,000: Inquisitor - Martyr	PC	NeocoreGames	NeoCoreGames	6.7	6.4	0.14	2018
10618	SpellForce 3	PC	THQ Nordic	Grimlore Games	7.3	7.7	0.13	2017
10620	Fallout 4 VR	PC	Bethesda Softworks	Bethesda Game Studios	7.8	5.0	0.13	2017
10818	Obduction	PC	Cyan Worlds	Cyan Worlds	7.6	7.7	0.13	2016
10870	Dungeons 3	PC	Kalypso Media	Realmforge Studios	7.5	7.7	0.13	2017
10874	The Turing Test	PC	Square Enix	Bulkhead Interactive	7.4	6.8	0.13	2016
10912	Mass Effect: Andromeda	PC	Electronic Arts	BioWare Corp.	7.2	4.9	0.13	2017
10941	Beat Cop	PC	11 bit studios	Pixel Crow	7.1	7.5	0.13	2017
10958	Hand of Fate 2	PC	Defiant Development	Defiant Development	8.0	7.1	0.13	2017
11011	Ni no Kuni II: Revenant Kingdom	PC	Namco Bandai Games	Level 5	8.5	6.8	0.12	2018
11095	8-Bit Armies	PC	Soedesco	Petroglyph Games	6.9	7.3	0.12	2018
11099	Deponia Doomsday	PC	Daedalic Entertainment	Daedalic Entertainment	7.6	7.0	0.12	2016
11175	Injustice 2	PC	Warner Bros. Interactive Entertainment	NetherRealm Studios	8.6	7.6	0.12	2017
11214	Senran Kagura Shinovi Versus	PC	Xseed Games	Tamsoft	7.0	7.1	0.12	2016
11359	Sudden Strike 4	PC	Kalypso Media	Kite Games	7.0	7.4	0.12	2017
11482	Samorost 3	PC	Amanita Design	Amanita Design	8.0	7.8	0.11	2016
11492	Starpoint Gemini Warlords	PC	Iceberg Interactive	Little Green Men Games	7.3	7.1	0.11	2017
11588	Crashlands	PC	Butterscotch Shenanigans	Butterscotch Shenanigans	7.8	7.8	0.11	2016
11680	Final Fantasy XII: The Zodiac Age	PC	Square Enix	Square Enix	8.3	8.8	0.11	2018
11828	Football Manager 2019	PC	Sega	Sports Interactive	8.6	6.5	0.11	2018
11882	Mighty No. 9	PC	Deep Silver	Comcept	5.2	3.6	0.11	2016
11888	Dungeon Souls	PC	Black Shell Media	Lamina Studios	6.7	5.5	0.11	2016
12015	Monster Prom	PC	Those Awesome Guys	Beautiful Glitch	7.3	6.7	0.1	2018
12081	Devil Daggers	PC	Sorath	Sorath	8.3	7.1	0.1	2016
12117	Homeworld: Deserts of Kharak	PC	Gearbox Publishing	Blackbird Interactive	7.9	7.9	0.1	2016
12221	The Technomancer	PC	Focus Home Interactive	Spiders	5.6	6.6	0.1	2016
12416	Battlefield V	PC	Electronic Arts	EA DICE	8.1	2.8	0.1	2018
12609	American Truck Simulator	PC	SCS Software	SCS Software	7.6	6.8	0.09	2016
12898	FIFA 18	PC	EA Sports	EA Vancouver	8.0	2.6	0.08	2017
13060	Mirror's Edge Catalyst	PC	Electronic Arts	EA DICE	7.4	5.2	0.08	2016
13263	Homefront: The Revolution	PC	Deep Silver	Dambuster Studios	5.4	3.8	0.08	2016
13467	Far Cry 5	PC	Ubisoft	Ubisoft	6.3	6.0	0.07	2018
13534	Song of the Deep	PC	Insomniac Games	Insomniac Games	7.1	7.1	0.07	2016
13721	DUSK	PC	New Blood Interactive	David Szymanski	8.8	8.2	0.07	2018
13887	Street Fighter V	PC	Capcom	Capcom	7.4	3.1	0.07	2016
14080	The Sims 4: Get Famous	PC	Electronic Arts	Maxis	7.7	5.9	0.06	2018
14170	Final Fantasy XIV: Stormblood	PC	Square Enix	Square Enix	8.7	8.3	0.06	2017
14345	Assassin's Creed Odyssey	PC	Ubisoft	Ubisoft Quebec	8.6	5.6	0.06	2018
14625	Life is Strange	PC	Square Enix	DONTNOD Entertainment	8.3	8.7	0.05	2016
14865	The Elder Scrolls Online: Morrowind	PC	Bethesda Softworks	ZeniMax Online Studios	7.7	6.6	0.05	2017
15388	For Honor	PC	Ubisoft	Ubisoft Montreal	7.6	5.2	0.04	2017
15702	Tom Clancy's Ghost Recon Wildlands	PC	Ubisoft	Ubisoft Paris	7.4		0.04	2017
15837	Warhammer 40,000: Dawn of War III	PC	Sega	Relic Entertainment	7.7	4.5	0.04	2017
16249	Pro Evolution Soccer 2017	PC	Konami Digital Entertainment	PES Productions	6.9	3.7	0.03	2016
17090	F1 2017	PC	Deep Silver	Codemasters	8.9	7.4	0.02	2017
17229	Quantum Break	PC	THQ Nordic	Remedy Entertainment	6.6	5.3	0.02	2016
17316	Need for Speed: Payback	PC	Electronic Arts	Ghost Games	6.5		0.02	2017
17384	Ride 2	PC	Milestone S.r.l	Milestone S.r.l.	6.7	7.4	0.02	2016
17427	Agatha Christie: The ABC Murders	PC	Microids	Artefacts Studios	6.6	8.5	0.02	2016
17636	Tyranny	PC	Paradox Interactive	Obsidian Entertainment	8.0	7.8	0.02	2016
17812	Halo Wars 2	PC	THQ Nordic	Creative Assembly	7.0	5.8	0.02	2017
17968	Destiny 2: Forsaken	PC	Activision	Bungie	8.4	5.8	0.02	2018
17988	Vikings: Wolves of Midgard	PC	Kalypso Media	Games Farm	6.6	7.1	0.02	2017
18083	Fortnite	PC	Epic Games	Epic Games	8.1	2.9	0.02	2017
18257	Tekken 7	PC	Namco Bandai Games	Namco Bandai Games	8.2	6.7	0.01	2017
18271	The Dwarves	PC	THQ Nordic	KING Art Games	6.1	6.5	0.01	2016
18473	DiRT 4	PC	Deep Silver	Codemasters	7.8	5.5	0.01	2017
18527	The Elder Scrolls Online: Summerset	PC	Bethesda Softworks	ZeniMax Online Studios	8.3	5.6	0.01	2018
18574	Pro Evolution Soccer 2018	PC	Konami Digital Entertainment	Konami Digital Entertainment	8.1	7.0	0.01	2017
18804	F1 2018	PC	Codemasters	Codemasters Birmingham	8.3	7.6	0.01	2018
19278	Darksiders III	PC	THQ Nordic	Gunfire Games	7.0	7.5	0.01	2018
19287	Leisure Suit Larry: Wet Dreams Don't Dry	PC	Assemble Entertainment	CrazyBunch	7.1	6.5	0.01	2018
19381	Heaven's Hope	PC	EuroVideo Medien	Mosaic	7.4	6.7	0.01	2016
